"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"0001-Add-prototype-to-function-definitions.patch","0001-Add-prototype-to-function-definitions.patch","","","aarch64-linux","/nix/store/xwkk0ingzql9g686b33rj5b04bacixsc-0001-Add-prototype-to-function-definitions.patch","['/nix/store/xwkk0ingzql9g686b33rj5b04bacixsc-0001-Add-prototype-to-function-definitions.patch']","/nix/store/ss1jmlp6qyiwqnjjcf2iqjnx3i2qbqyw-0001-Add-prototype-to-function-definitions.patch.drv","cpe:2.3:a:0001-Add-prototype-to-function-definitions.patch:0001-Add-prototype-to-function-definitions.patch::*:*:*:*:*:*:*","pkg:nix/0001-Add-prototype-to-function-definitions.patch","https://sourceforge.net/p/expect/patches/24/attachment/0001-Add-prototype-to-function-definitions.patch","","","","","","","",""
"0001-enable-cross-compilation.patch","0001-enable-cross-compilation.patch","","","aarch64-linux","/nix/store/j2d1ch2mx2j0cs55l55pxvxwya7jdlcr-0001-enable-cross-compilation.patch","['/nix/store/j2d1ch2mx2j0cs55l55pxvxwya7jdlcr-0001-enable-cross-compilation.patch']","/nix/store/ccwq8312g9d82fjs3q2bphf8ajz83sz5-0001-enable-cross-compilation.patch.drv","cpe:2.3:a:0001-enable-cross-compilation.patch:0001-enable-cross-compilation.patch::*:*:*:*:*:*:*","pkg:nix/0001-enable-cross-compilation.patch","https://raw.githubusercontent.com/buildroot/buildroot/c05e6aa361a4049eabd8b21eb64a34899ef83fc7/package/expect/0001-enable-cross-compilation.patch","","","","","","","",""
"0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d","0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d","","","aarch64-linux","/nix/store/lsxbs3l053zpfp6h5xc1nk33fmrgpy72-0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d","['/nix/store/lsxbs3l053zpfp6h5xc1nk33fmrgpy72-0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d']","/nix/store/rzj75k57imjj1lamwb1vq2rdbi0hnb4d-0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d.drv","cpe:2.3:a:0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d:0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d::*:*:*:*:*:*:*","pkg:nix/0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch%3Fid%3D62b9c816a5000dc01b28e78213bde26b58cbca9d","https://git.yoctoproject.org/meta-selinux/plain/recipes-security/selinux/libselinux/0003-libselinux-restore-drop-the-obsolete-LSF-transitiona.patch?id=62b9c816a5000dc01b28e78213bde26b58cbca9d","","","","","","","",""
"001-fix-rpath.patch","001-fix-rpath.patch","","","aarch64-linux","/nix/store/82l1i2n21sdmyq5cy4348lxy1v45mf6b-001-fix-rpath.patch","['/nix/store/82l1i2n21sdmyq5cy4348lxy1v45mf6b-001-fix-rpath.patch']","/nix/store/7f6wsgg8qid9f5snkj255fr5l2vjgv8c-001-fix-rpath.patch.drv","cpe:2.3:a:001-fix-rpath.patch:001-fix-rpath.patch::*:*:*:*:*:*:*","pkg:nix/001-fix-rpath.patch","","","","","","","","",""
"01-fix-heap-buffer-overflow-cve-2018-1000097.patch","01-fix-heap-buffer-overflow-cve-2018-1000097.patch","","","aarch64-linux","/nix/store/szg677zzcqb34gi14yhmh25cyvmg3a6g-01-fix-heap-buffer-overflow-cve-2018-1000097.patch","['/nix/store/szg677zzcqb34gi14yhmh25cyvmg3a6g-01-fix-heap-buffer-overflow-cve-2018-1000097.patch']","/nix/store/1a3kn4j5ck9sgi2cb86v7npp19xjzjw3-01-fix-heap-buffer-overflow-cve-2018-1000097.patch.drv","cpe:2.3:a:01-fix-heap-buffer-overflow-cve-2018-1000097.patch:01-fix-heap-buffer-overflow-cve-2018-1000097.patch::*:*:*:*:*:*:*","pkg:nix/01-fix-heap-buffer-overflow-cve-2018-1000097.patch","https://sources.debian.org/data/main/s/sharutils/1:4.15.2-2+deb9u1/debian/patches/01-fix-heap-buffer-overflow-cve-2018-1000097.patch","","","","","","","",""
"02-fix-ftbfs-with-glibc-2.28.patch","02-fix-ftbfs-with-glibc-2.28.patch","","","aarch64-linux","/nix/store/vdw2q3ik790cwfig6308knaxnixbgz74-02-fix-ftbfs-with-glibc-2.28.patch","['/nix/store/vdw2q3ik790cwfig6308knaxnixbgz74-02-fix-ftbfs-with-glibc-2.28.patch']","/nix/store/hpnyw92p3rik81f5679xnbwrid4s19i7-02-fix-ftbfs-with-glibc-2.28.patch.drv","cpe:2.3:a:02-fix-ftbfs-with-glibc-2.28.patch:02-fix-ftbfs-with-glibc-2.28.patch::*:*:*:*:*:*:*","pkg:nix/02-fix-ftbfs-with-glibc-2.28.patch","https://sources.debian.org/data/main/s/sharutils/1:4.15.2-4/debian/patches/02-fix-ftbfs-with-glibc-2.28.patch","","","","","","","",""
"06-initialize-the-symlink-flag.patch","06-initialize-the-symlink-flag.patch","","","aarch64-linux","/nix/store/kmi9k6axz96lmm2sn922w9shys0z0cz5-06-initialize-the-symlink-flag.patch","['/nix/store/kmi9k6axz96lmm2sn922w9shys0z0cz5-06-initialize-the-symlink-flag.patch']","/nix/store/aalqwi1x19dm5njmc671s8k9mn69bwj5-06-initialize-the-symlink-flag.patch.drv","cpe:2.3:a:06-initialize-the-symlink-flag.patch:06-initialize-the-symlink-flag.patch::*:*:*:*:*:*:*","pkg:nix/06-initialize-the-symlink-flag.patch","https://sources.debian.org/data/main/u/unzip/6.0-26%2Bdeb11u1/debian/patches/06-initialize-the-symlink-flag.patch https://gist.github.com/veprbl/41261bb781571e2246ea42d3f37795f5/raw/d8533d8c6223150f76b0f31aec03e185fcde3579/06-initialize-the-symlink-flag.patch","","","","","","","",""
"07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","","","aarch64-linux","/nix/store/ir6sycy7p1yxbk9vbsdwkwihdr54sv9k-07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","['/nix/store/ir6sycy7p1yxbk9vbsdwkwihdr54sv9k-07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch']","/nix/store/c60ka80bklcx47rk6iqf8ya1f3k0ava3-07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch.drv","cpe:2.3:a:07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch:07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch::*:*:*:*:*:*:*","pkg:nix/07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","https://github.com/docbook/xslt10-stylesheets/commit/07631601e6602bc49b8eac3aab9d2b35968d3e7a.patch","","","","","","","",""
"08fb06ec3ccd412ca69483d27234684a04cb91a0.patch","08fb06ec3ccd412ca69483d27234684a04cb91a0.patch","","","aarch64-linux","/nix/store/2ynhdqagqhhgiwwp42vs2k1rbzg4hk16-08fb06ec3ccd412ca69483d27234684a04cb91a0.patch","['/nix/store/2ynhdqagqhhgiwwp42vs2k1rbzg4hk16-08fb06ec3ccd412ca69483d27234684a04cb91a0.patch']","/nix/store/9h3p3il6rs7ryb0x7darcvg40yxch96j-08fb06ec3ccd412ca69483d27234684a04cb91a0.patch.drv","cpe:2.3:a:08fb06ec3ccd412ca69483d27234684a04cb91a0.patch:08fb06ec3ccd412ca69483d27234684a04cb91a0.patch::*:*:*:*:*:*:*","pkg:nix/08fb06ec3ccd412ca69483d27234684a04cb91a0.patch","https://github.com/facebook/pyre2/pull/25/commits/08fb06ec3ccd412ca69483d27234684a04cb91a0.patch","","","","","","","",""
"1375e2df75530cd198bd16ac3de38e2b0d126276.patch","1375e2df75530cd198bd16ac3de38e2b0d126276.patch","","","aarch64-linux","/nix/store/k2v8kk2jzfaa9bc3ny25l6lkrd3x09g5-1375e2df75530cd198bd16ac3de38e2b0d126276.patch","['/nix/store/k2v8kk2jzfaa9bc3ny25l6lkrd3x09g5-1375e2df75530cd198bd16ac3de38e2b0d126276.patch']","/nix/store/0lm4vw2xmv60f9ghhir1m2s2kbdcpzvb-1375e2df75530cd198bd16ac3de38e2b0d126276.patch.drv","cpe:2.3:a:1375e2df75530cd198bd16ac3de38e2b0d126276.patch:1375e2df75530cd198bd16ac3de38e2b0d126276.patch::*:*:*:*:*:*:*","pkg:nix/1375e2df75530cd198bd16ac3de38e2b0d126276.patch","https://pagure.io/xmlto/c/1375e2df75530cd198bd16ac3de38e2b0d126276.patch","","","","","","","",""
