"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"abseil-cpp-20240116.1","abseil-cpp","20240116.1","","aarch64-linux","/nix/store/wkj0hbbb03x0s2vx22x58vdkl6m5jsrr-abseil-cpp-20240116.1","['/nix/store/wkj0hbbb03x0s2vx22x58vdkl6m5jsrr-abseil-cpp-20240116.1']","/nix/store/c0l46wg9fnp8z2lxxhrm4azpl84n50rp-abseil-cpp-20240116.1.drv","cpe:2.3:a:abseil-cpp:abseil-cpp:20240116.1:*:*:*:*:*:*:*","pkg:nix/abseil-cpp@20240116.1","","abseil-cpp","20240116.1","https://abseil.io/","False","An open-source collection of C++ code designed to augment the C++ standard library","asl20","Apache-2.0","gaetan@glepage.com"
"acl-2.3.2","acl","2.3.2","","aarch64-linux","/nix/store/0j1vl03cf7xylv44zbz8lbh8cda0bgm8-acl-2.3.2","['/nix/store/0j1vl03cf7xylv44zbz8lbh8cda0bgm8-acl-2.3.2']","/nix/store/j16h2faphv71d06srif8gpnc33csca4a-acl-2.3.2.drv","cpe:2.3:a:acl:acl:2.3.2:*:*:*:*:*:*:*","pkg:nix/acl@2.3.2","","acl","2.3.2","https://savannah.nongnu.org/projects/acl","False","Library and tools for manipulating access control lists","gpl2Plus","GPL-2.0-or-later",""
"attr-2.5.2","attr","2.5.2","","aarch64-linux","/nix/store/6js79lc2ys40z4ibq5dkj286rwqqxpkm-attr-2.5.2","['/nix/store/6js79lc2ys40z4ibq5dkj286rwqqxpkm-attr-2.5.2']","/nix/store/96b526vgi6cb1j08p8dl0iafivhn2gds-attr-2.5.2.drv","cpe:2.3:a:attr_project:attr:2.5.2:*:*:*:*:*:*:*","pkg:nix/attr@2.5.2","","attr","2.5.2","https://savannah.nongnu.org/projects/attr/","False","Library and tools for manipulating extended attributes","gpl2Plus","GPL-2.0-or-later",""
"audit-3.1.2","audit","3.1.2","","aarch64-linux","/nix/store/471xiwjkpz2mz1pq3jxndfdk2mdzqmd8-audit-3.1.2","['/nix/store/471xiwjkpz2mz1pq3jxndfdk2mdzqmd8-audit-3.1.2']","/nix/store/0snfc9f5i04czqkxm4m865s8m65dn5hm-audit-3.1.2.drv","cpe:2.3:a:audit:audit:3.1.2:*:*:*:*:*:*:*","pkg:nix/audit@3.1.2","","audit","3.1.2","https://people.redhat.com/sgrubb/audit/","False","Audit Library","gpl2Plus","GPL-2.0-or-later","torres.anderson.85@protonmail.com"
"bash-5.2p26","bash","5.2p26","/nix/store/a73wzcks7h2y814qxa1z3kv1hg205mpm-bash52-001 /nix/store/xc3h9isl5566i6a4pvdsgin26rchijrq-bash52-002 /nix/store/sxc8xmi7caxaiywzh15za9crpk3bw98z-bash52-003 /nix/store/2ynclzrdl0hy9miy6k8gcwgzw4mhsmd0-bash52-004 /nix/store/z76vsdh69cvwkwhwg69k7d1znwjmx6hf-bash52-005 /nix/store/1fw5fcsjz9wcbf13a5xs4i2cjfircp3x-bash52-006 /nix/store/rs1qdpy1nb3x07g4vqvb4s774qhq9f0w-bash52-007 /nix/store/jn9f2mr2jdm9yn5hi0pws44nbfrah8d3-bash52-008 /nix/store/j8vipdfzslz4aa7aj0amwd4msxa9hhpl-bash52-009 /nix/store/24ygbbc9k6vjc4vhz2j6a9dkdgmqgc6n-bash52-010 /nix/store/sim601rd1y3hsap9qkn25cwprsa9aipp-bash52-011 /nix/store/x1sqwqn02c5mnpi8hbqlxpbm3rahq5dm-bash52-012 /nix/store/wcpqrbsljh2x04qccs6jv9z8c9y1c3cd-bash52-013 /nix/store/cddj9qpc4l62qjy6vvf7gp50mfqaf506-bash52-014 /nix/store/pjp935kxwai47zyx1wpwadls00m9nmib-bash52-015 /nix/store/0cr4hvmwbfablyhn58ba0lrfb44igq5y-bash52-016 /nix/store/in24890k6ybij0b63jisfmrwmmc6x7pv-bash52-017 /nix/store/nffxsaniz7irz07z79cxwkhz97vgqwrx-bash52-018 /nix/store/d5qpl3kqrmv99fbw1cd09qj9jr7kb2rr-bash52-019 /nix/store/pcdlxsb3mxfjnclg8rn8xy2ywbb5ra36-bash52-020 /nix/store/gnx16vs69p7fggsslnbg6v818497vvxl-bash52-021 /nix/store/a55mbgicwbpl17n7a4wklg214xbcgj3f-bash52-022 /nix/store/kwf1fq1xvc5x883gjqsp439ayqffkx1f-bash52-023 /nix/store/rihy7jn15hxaifb33v5p8w62gmw62k97-bash52-024 /nix/store/m9x6023c6a7wi91fm0624da2lww2wm5p-bash52-025 /nix/store/yzd1kmz6qlk3dxa82lwfbgqqxy2c4m1x-bash52-026 /nix/store/yq0lz1byj4v2rym2ng23a3nj4n6pvqdj-pgrp-pipe-5.patch /nix/store/1dydp86d00qzjbncpi80sdsndf33lc5j-fix-static.patch /nix/store/j7yk5caljxg94g6kn285hz5ysiyv1bmi-parallel.patch","aarch64-linux","/nix/store/q36009ll4v7ay3xv4na856w715nfrbn8-bash-5.2p26","['/nix/store/q36009ll4v7ay3xv4na856w715nfrbn8-bash-5.2p26']","/nix/store/d4vcd38af14s0ihmdgpg4rcaa6l84f8r-bash-5.2p26.drv","cpe:2.3:a:gnu:bash:5.2p26:*:*:*:*:*:*:*","pkg:nix/bash@5.2p26","","bash","5.2p26","https://www.gnu.org/software/bash/","False","GNU Bourne-Again Shell, the de facto standard shell on Linux","gpl3Plus","GPL-3.0-or-later","w@wdtz.org"
"bash-interactive-5.2p26","bash-interactive","5.2p26","/nix/store/a73wzcks7h2y814qxa1z3kv1hg205mpm-bash52-001 /nix/store/xc3h9isl5566i6a4pvdsgin26rchijrq-bash52-002 /nix/store/sxc8xmi7caxaiywzh15za9crpk3bw98z-bash52-003 /nix/store/2ynclzrdl0hy9miy6k8gcwgzw4mhsmd0-bash52-004 /nix/store/z76vsdh69cvwkwhwg69k7d1znwjmx6hf-bash52-005 /nix/store/1fw5fcsjz9wcbf13a5xs4i2cjfircp3x-bash52-006 /nix/store/rs1qdpy1nb3x07g4vqvb4s774qhq9f0w-bash52-007 /nix/store/jn9f2mr2jdm9yn5hi0pws44nbfrah8d3-bash52-008 /nix/store/j8vipdfzslz4aa7aj0amwd4msxa9hhpl-bash52-009 /nix/store/24ygbbc9k6vjc4vhz2j6a9dkdgmqgc6n-bash52-010 /nix/store/sim601rd1y3hsap9qkn25cwprsa9aipp-bash52-011 /nix/store/x1sqwqn02c5mnpi8hbqlxpbm3rahq5dm-bash52-012 /nix/store/wcpqrbsljh2x04qccs6jv9z8c9y1c3cd-bash52-013 /nix/store/cddj9qpc4l62qjy6vvf7gp50mfqaf506-bash52-014 /nix/store/pjp935kxwai47zyx1wpwadls00m9nmib-bash52-015 /nix/store/0cr4hvmwbfablyhn58ba0lrfb44igq5y-bash52-016 /nix/store/in24890k6ybij0b63jisfmrwmmc6x7pv-bash52-017 /nix/store/nffxsaniz7irz07z79cxwkhz97vgqwrx-bash52-018 /nix/store/d5qpl3kqrmv99fbw1cd09qj9jr7kb2rr-bash52-019 /nix/store/pcdlxsb3mxfjnclg8rn8xy2ywbb5ra36-bash52-020 /nix/store/gnx16vs69p7fggsslnbg6v818497vvxl-bash52-021 /nix/store/a55mbgicwbpl17n7a4wklg214xbcgj3f-bash52-022 /nix/store/kwf1fq1xvc5x883gjqsp439ayqffkx1f-bash52-023 /nix/store/rihy7jn15hxaifb33v5p8w62gmw62k97-bash52-024 /nix/store/m9x6023c6a7wi91fm0624da2lww2wm5p-bash52-025 /nix/store/yzd1kmz6qlk3dxa82lwfbgqqxy2c4m1x-bash52-026 /nix/store/yq0lz1byj4v2rym2ng23a3nj4n6pvqdj-pgrp-pipe-5.patch /nix/store/1dydp86d00qzjbncpi80sdsndf33lc5j-fix-static.patch /nix/store/j7yk5caljxg94g6kn285hz5ysiyv1bmi-parallel.patch","aarch64-linux","/nix/store/ciw0pvaqjffnvary60p0gcvfsc7plq2z-bash-interactive-5.2p26","['/nix/store/ciw0pvaqjffnvary60p0gcvfsc7plq2z-bash-interactive-5.2p26']","/nix/store/39w8af640kjdzhcnn9ra7yffvmi79p2q-bash-interactive-5.2p26.drv","cpe:2.3:a:bash-interactive:bash-interactive:5.2p26:*:*:*:*:*:*:*","pkg:nix/bash-interactive@5.2p26","","bash-interactive","5.2p26","https://www.gnu.org/software/bash/","False","GNU Bourne-Again Shell, the de facto standard shell on Linux (for interactive use)","gpl3Plus","GPL-3.0-or-later","w@wdtz.org"
"blas-3","blas","3","","aarch64-linux","/nix/store/sw2ragjy0qa0kdlj255d22yy7jkndbfi-blas-3","['/nix/store/i7d7kbkwkgrfwaqjl8z543snhasv84m7-blas-3-dev', '/nix/store/sw2ragjy0qa0kdlj255d22yy7jkndbfi-blas-3']","/nix/store/25bgs0byc1qq3cx8h0jpfcgcxja7d029-blas-3.drv","cpe:2.3:a:blas:blas:3:*:*:*:*:*:*:*","pkg:nix/blas@3","","blas","3","https://github.com/xianyi/OpenBLAS","False","openblas with just the BLAS C and FORTRAN ABI","bsd3","BSD-3-Clause","ttuegel@mailbox.org"
"boost-1.81.0","boost","1.81.0","/nix/store/wpbcp7kf7xcjaf7kd7nqx23y6n8h86lf-cmake-paths-173.patch","aarch64-linux","/nix/store/36s6bhw59mrh5fan3s9lx7zl08jlg0i7-boost-1.81.0","['/nix/store/36s6bhw59mrh5fan3s9lx7zl08jlg0i7-boost-1.81.0']","/nix/store/g89v9xbvikfgf8rgg7659s8gqcz89la3-boost-1.81.0.drv","cpe:2.3:a:boost:boost:1.81.0:*:*:*:*:*:*:*","pkg:nix/boost@1.81.0","","boost","1.81.0","http://boost.org/","False","Collection of C++ libraries","boost","BSL-1.0","hjones2199@gmail.com"
"brotli-1.1.0","brotli","1.1.0","/nix/store/97zv8kqclazyckapna88q8fx13bxb3vp-revert-runpath.patch","aarch64-linux","/nix/store/1qxq3nys2mzly2zsnnbrdyric29kqipk-brotli-1.1.0","['/nix/store/dypwvnkgx6njpn6shlsa5b48d7f8nnn5-brotli-1.1.0-lib']","/nix/store/sq4mp3q6mjwzasmikfd9qnniqfmrrr3j-brotli-1.1.0.drv","cpe:2.3:a:google:brotli:1.1.0:*:*:*:*:*:*:*","pkg:nix/brotli@1.1.0","","brotli","1.1.0","https://github.com/google/brotli","False","A generic-purpose lossless compression algorithm and tool","mit","MIT",""
"brunsli-0.1","brunsli","0.1","/nix/store/mbn6s19msf49qmqvqr9xj47psfk5iqiq-patch-CMakeLists.txt /nix/store/6mwin0gc2y9j8j9anh327xb4p922kqdh-patch-brunsli.cmake","aarch64-linux","/nix/store/s7adzjc87w3n485gcz6b6nzymps4ljcl-brunsli-0.1","['/nix/store/s7adzjc87w3n485gcz6b6nzymps4ljcl-brunsli-0.1']","/nix/store/d5gqrhxqmnwsa629ywzwgpaaj5l65kkg-brunsli-0.1.drv","cpe:2.3:a:brunsli:brunsli:0.1:*:*:*:*:*:*:*","pkg:nix/brunsli@0.1","","brunsli","0.1","https://github.com/google/brunsli","False","Lossless JPEG repacking library","mit","MIT","rschuetz17@gmail.com"
