"vuln_id","url","package","version_local","severity","grype","osv","sum","sortcol"
"GHSA-w596-4wvx-j9j6","https://osv.dev/GHSA-w596-4wvx-j9j6","py","1.11.0","","0","1","1","2024A1708041600"
"CVE-2024-39684","https://nvd.nist.gov/vuln/detail/CVE-2024-39684","rapidjson","1.1.0","7.8","1","0","1","2024A0000039684"
"CVE-2024-38517","https://nvd.nist.gov/vuln/detail/CVE-2024-38517","rapidjson","1.1.0","7.8","1","0","1","2024A0000038517"
"CVE-2024-37407","https://nvd.nist.gov/vuln/detail/CVE-2024-37407","libarchive","3.7.2","9.1","1","0","1","2024A0000037407"
"CVE-2024-35328","https://nvd.nist.gov/vuln/detail/CVE-2024-35328","libyaml","0.2.5","7.5","1","0","1","2024A0000035328"
"CVE-2024-34459","https://nvd.nist.gov/vuln/detail/CVE-2024-34459","libxml2","2.12.6","","1","0","1","2024A0000034459"
"CVE-2024-34397","https://nvd.nist.gov/vuln/detail/CVE-2024-34397","glib","2.78.4","","1","0","1","2024A0000034397"
"CVE-2024-33871","https://nvd.nist.gov/vuln/detail/CVE-2024-33871","ghostscript","10.02.1","8.8","1","0","1","2024A0000033871"
"CVE-2024-33870","https://nvd.nist.gov/vuln/detail/CVE-2024-33870","ghostscript","10.02.1","","1","0","1","2024A0000033870"
"CVE-2024-33869","https://nvd.nist.gov/vuln/detail/CVE-2024-33869","ghostscript","10.02.1","","1","0","1","2024A0000033869"
"CVE-2024-32465","https://nvd.nist.gov/vuln/detail/CVE-2024-32465","git","2.44.0","7.3","1","0","1","2024A0000032465"
"CVE-2024-32021","https://nvd.nist.gov/vuln/detail/CVE-2024-32021","git","2.44.0","3.9","1","0","1","2024A0000032021"
"CVE-2024-32020","https://nvd.nist.gov/vuln/detail/CVE-2024-32020","git","2.44.0","3.9","1","0","1","2024A0000032020"
"CVE-2024-32004","https://nvd.nist.gov/vuln/detail/CVE-2024-32004","git","2.44.0","8.1","1","0","1","2024A0000032004"
