"vuln_id","url","package","version_local","severity","grype","osv","sum","sortcol"
"CVE-2024-34459","https://nvd.nist.gov/vuln/detail/CVE-2024-34459","libxml2","2.12.6","","1","0","1","2024A0000034459"
"CVE-2024-28182","https://nvd.nist.gov/vuln/detail/CVE-2024-28182","nghttp2","1.60.0","5.3","1","0","1","2024A0000028182"
"CVE-2024-5535","https://nvd.nist.gov/vuln/detail/CVE-2024-5535","openssl","3.0.13","9.1","1","0","1","2024A0000005535"
"CVE-2024-4603","https://nvd.nist.gov/vuln/detail/CVE-2024-4603","openssl","3.0.13","","1","0","1","2024A0000004603"
"CVE-2024-4317","https://nvd.nist.gov/vuln/detail/CVE-2024-4317","postgresql","15.6","3.1","1","0","1","2024A0000004317"
"CVE-2024-2511","https://nvd.nist.gov/vuln/detail/CVE-2024-2511","openssl","3.0.13","","1","0","1","2024A0000002511"
"CVE-2024-0684","https://nvd.nist.gov/vuln/detail/CVE-2024-0684","coreutils","9.4","5.5","1","0","1","2024A0000000684"
"OSV-2024-395","https://osv.dev/OSV-2024-395","libpcap","1.10.4","","0","1","1","2024A0000000395"
"CVE-2023-52356","https://nvd.nist.gov/vuln/detail/CVE-2023-52356","libtiff","4.6.0","7.5","1","0","1","2023A0000052356"
"CVE-2023-48795","https://nvd.nist.gov/vuln/detail/CVE-2023-48795","libssh2","1.11.0","5.9","1","0","1","2023A0000048795"
"BIT-timescaledb-2023-25149","https://osv.dev/BIT-timescaledb-2023-25149","timescaledb","2.9.1","","0","1","1","2023A0000025149"
"CVE-2023-25149","https://nvd.nist.gov/vuln/detail/CVE-2023-25149","timescaledb","2.9.1","8.8","1","0","1","2023A0000025149"
"BIT-vault-2023-25000","https://osv.dev/BIT-vault-2023-25000","vault","0.2.9","","0","1","1","2023A0000025000"
"BIT-vault-2023-24999","https://osv.dev/BIT-vault-2023-24999","vault","0.2.9","","0","1","1","2023A0000024999"
"BIT-vault-2023-6337","https://osv.dev/BIT-vault-2023-6337","vault","0.2.9","","0","1","1","2023A0000006337"
"CVE-2023-6277","https://nvd.nist.gov/vuln/detail/CVE-2023-6277","libtiff","4.6.0","6.5","1","0","1","2023A0000006277"
"CVE-2023-6228","https://nvd.nist.gov/vuln/detail/CVE-2023-6228","libtiff","4.6.0","5.5","1","0","1","2023A0000006228"
"CVE-2023-5841","https://nvd.nist.gov/vuln/detail/CVE-2023-5841","openexr","2.5.10","9.1","1","0","1","2023A0000005841"
"BIT-vault-2023-2121","https://osv.dev/BIT-vault-2023-2121","vault","0.2.9","","0","1","1","2023A0000002121"
"OSV-2023-1307","https://osv.dev/OSV-2023-1307","libbpf","1.3.0","","0","1","1","2023A0000001307"
"OSV-2023-877","https://osv.dev/OSV-2023-877","libbpf","1.3.0","","0","1","1","2023A0000000877"
"BIT-vault-2023-0665","https://osv.dev/BIT-vault-2023-0665","vault","0.2.9","","0","1","1","2023A0000000665"
"BIT-vault-2023-0620","https://osv.dev/BIT-vault-2023-0620","vault","0.2.9","","0","1","1","2023A0000000620"
"OSV-2023-197","https://osv.dev/OSV-2023-197","p11-kit","0.25.3","","0","1","1","2023A0000000197"
"CVE-2022-48468","https://nvd.nist.gov/vuln/detail/CVE-2022-48468","protobuf-c","unstable-2023-07-08","5.5","1","0","1","2022A0000048468"
"BIT-vault-2022-41316","https://osv.dev/BIT-vault-2022-41316","vault","0.2.9","","0","1","1","2022A0000041316"
"MAL-2022-4301","https://osv.dev/MAL-2022-4301","libidn2","2.3.7","","0","1","1","2022A0000004301"
"CVE-2022-3219","https://nvd.nist.gov/vuln/detail/CVE-2022-3219","gnupg","2.4.5","3.3","1","0","1","2022A0000003219"
"BIT-vault-2021-41802","https://osv.dev/BIT-vault-2021-41802","vault","0.2.9","","0","1","1","2021A0000041802"
"BIT-vault-2021-38554","https://osv.dev/BIT-vault-2021-38554","vault","0.2.9","","0","1","1","2021A0000038554"
"BIT-vault-2021-27400","https://osv.dev/BIT-vault-2021-27400","vault","0.2.9","","0","1","1","2021A0000027400"
"CVE-2021-26945","https://nvd.nist.gov/vuln/detail/CVE-2021-26945","openexr","2.5.10","5.5","1","0","1","2021A0000026945"
"CVE-2021-26260","https://nvd.nist.gov/vuln/detail/CVE-2021-26260","openexr","2.5.10","5.5","1","0","1","2021A0000026260"
"CVE-2021-23215","https://nvd.nist.gov/vuln/detail/CVE-2021-23215","openexr","2.5.10","5.5","1","0","1","2021A0000023215"
"CVE-2021-23169","https://nvd.nist.gov/vuln/detail/CVE-2021-23169","openexr","2.5.10","8.8","1","0","1","2021A0000023169"
"CVE-2021-3933","https://nvd.nist.gov/vuln/detail/CVE-2021-3933","openexr","2.5.10","5.5","1","0","1","2021A0000003933"
"CVE-2021-3605","https://nvd.nist.gov/vuln/detail/CVE-2021-3605","openexr","2.5.10","5.5","1","0","1","2021A0000003605"
"CVE-2021-3598","https://nvd.nist.gov/vuln/detail/CVE-2021-3598","openexr","2.5.10","5.5","1","0","1","2021A0000003598"
"BIT-vault-2021-3024","https://osv.dev/BIT-vault-2021-3024","vault","0.2.9","","0","1","1","2021A0000003024"
"OSV-2021-777","https://osv.dev/OSV-2021-777","libxml2","2.12.6","","0","1","1","2021A0000000777"
"BIT-vault-2020-25594","https://osv.dev/BIT-vault-2020-25594","vault","0.2.9","","0","1","1","2020A0000025594"
"BIT-vault-2020-13223","https://osv.dev/BIT-vault-2020-13223","vault","0.2.9","","0","1","1","2020A0000013223"
"CVE-2017-8806","https://nvd.nist.gov/vuln/detail/CVE-2017-8806","postgresql","15.6","5.5","1","0","1","2017A0000008806"
"CVE-2016-2781","https://nvd.nist.gov/vuln/detail/CVE-2016-2781","coreutils","9.4","6.5","1","0","1","2016A0000002781"
"CVE-2015-7313","https://nvd.nist.gov/vuln/detail/CVE-2015-7313","libtiff","4.6.0","5.5","1","0","1","2015A0000007313"
